Unnamed: 0,age,gender,year_in_school,major,monthly_income_idr,financial_aid_idr,tuition_idr,housing_idr,food_idr,transportation_idr,books_supplies_idr,entertainment_idr,personal_care_idr,technology_idr,health_wellness_idr,miscellaneous_idr,preferred_payment_method
192,19,Male,Freshman,Economics,21750000,12135000,61545000,12675000,3825000,1335000,2040000,1650000,1275000,2745000,1275000,1650000,Credit/Debit Card
193,22,Female,Freshman,Computer Science,19740000,14070000,64740000,14295000,2295000,2685000,3435000,1575000,990000,2760000,2265000,2055000,Credit/Debit Card
194,24,Male,Freshman,Computer Science,13560000,14325000,61125000,13125000,4650000,2955000,3015000,1365000,1245000,3360000,2790000,1515000,Cash
195,23,Female,Junior,Computer Science,22320000,1155000,81270000,8175000,1680000,2895000,2370000,315000,960000,3855000,2520000,1290000,Cash
196,20,Female,Junior,Psychology,13395000,3870000,88155000,7035000,1965000,2880000,3330000,1095000,1260000,1875000,2640000,1110000,Cash
197,21,Male,Freshman,Biology,7905000,12765000,66960000,10245000,5850000,2910000,2775000,1905000,975000,2820000,2520000,2895000,Credit/Debit Card
198,24,Male,Senior,Biology,12060000,9600000,45645000,13905000,5205000,2505000,2265000,1710000,525000,3090000,1410000,2535000,Credit/Debit Card
199,25,Female,Junior,Engineering,8205000,3495000,76050000,9495000,2460000,1410000,2205000,1845000,375000,3540000,1740000,555000,Credit/Debit Card
200,19,Non-binary,Freshman,Computer Science,7845000,13380000,70245000,6570000,2700000,975000,3120000,1620000,885000,2880000,1380000,1980000,Cash
201,24,Female,Senior,Economics,15600000,14550000,79395000,10515000,4845000,1455000,2940000,1395000,930000,2550000,1350000,960000,Credit/Debit Card
202,24,Male,Freshman,Computer Science,13770000,4095000,45180000,11385000,1695000,2715000,930000,1485000,1215000,3390000,2325000,2985000,Credit/Debit Card
203,23,Female,Junior,Biology,7560000,11625000,61980000,14955000,3555000,1035000,2985000,1665000,870000,930000,2925000,2925000,Credit/Debit Card
204,24,Female,Senior,Economics,18045000,1725000,48510000,12870000,3735000,2355000,4380000,1980000,1410000,4170000,990000,735000,Cash
205,20,Female,Senior,Psychology,14265000,4185000,60060000,6795000,5490000,1815000,4305000,1065000,975000,3105000,1935000,1830000,Mobile Payment App
206,24,Non-binary,Sophomore,Psychology,12855000,8745000,59085000,8805000,2205000,1890000,2400000,1755000,1275000,1470000,1035000,2145000,Mobile Payment App
207,19,Male,Senior,Psychology,12180000,8085000,47865000,11160000,1620000,2835000,4440000,465000,1215000,3060000,1305000,510000,Cash
208,18,Male,Sophomore,Computer Science,8100000,9735000,77820000,11190000,2595000,2205000,1695000,2085000,435000,1545000,1095000,1770000,Credit/Debit Card
209,19,Non-binary,Junior,Psychology,13335000,7245000,45105000,10095000,3375000,1695000,1695000,2220000,600000,3840000,2565000,2625000,Cash
210,18,Non-binary,Freshman,Psychology,14880000,10200000,85770000,7995000,3615000,1260000,4140000,975000,1215000,2115000,2565000,765000,Credit/Debit Card
211,21,Male,Junior,Biology,11400000,13035000,55680000,8505000,4365000,1410000,1290000,2115000,1455000,825000,2475000,660000,Mobile Payment App
212,25,Male,Sophomore,Biology,17985000,14940000,72975000,7995000,3105000,1845000,1050000,1560000,1140000,3840000,2835000,2880000,Credit/Debit Card
213,20,Female,Junior,Biology,8670000,6900000,73395000,7320000,2085000,2520000,870000,1575000,1380000,2655000,2745000,1380000,Credit/Debit Card
214,24,Female,Senior,Economics,14910000,14100000,73275000,7305000,2145000,810000,1185000,1110000,795000,1155000,990000,330000,Cash
215,18,Non-binary,Junior,Economics,8280000,7215000,79680000,14055000,4605000,1155000,1065000,315000,780000,1905000,690000,1155000,Mobile Payment App
216,21,Male,Junior,Computer Science,21660000,11880000,87990000,9105000,5940000,2835000,1875000,1140000,1200000,885000,1185000,1170000,Credit/Debit Card
217,19,Female,Junior,Psychology,18045000,8250000,49230000,9810000,2730000,1620000,4320000,2205000,570000,1380000,2730000,1920000,Mobile Payment App
218,25,Female,Sophomore,Computer Science,22215000,750000,73470000,14730000,2355000,2430000,2385000,450000,1140000,3375000,1485000,2490000,Credit/Debit Card
219,25,Non-binary,Sophomore,Economics,10500000,2610000,79770000,12690000,3090000,1620000,4260000,1050000,345000,3300000,2535000,2130000,Credit/Debit Card
220,25,Female,Junior,Economics,16305000,6225000,79230000,7545000,2325000,2790000,1740000,465000,465000,1620000,2115000,3000000,Mobile Payment App
221,23,Male,Senior,Economics,10080000,10485000,67800000,6525000,2295000,2700000,915000,1125000,840000,3720000,2925000,1230000,Mobile Payment App
222,21,Male,Sophomore,Computer Science,12375000,13230000,64605000,8835000,2715000,810000,1335000,1695000,825000,3990000,510000,2640000,Credit/Debit Card
223,24,Male,Sophomore,Computer Science,15495000,4005000,89955000,12090000,5610000,1290000,3435000,1170000,465000,2085000,2295000,1155000,Cash
224,25,Non-binary,Freshman,Engineering,11610000,3750000,79590000,14130000,4860000,1095000,4065000,1605000,1155000,1380000,1200000,990000,Credit/Debit Card
225,23,Male,Junior,Engineering,20475000,11160000,45990000,14040000,3975000,780000,1815000,690000,1275000,4380000,1920000,1725000,Credit/Debit Card
226,25,Non-binary,Sophomore,Economics,12150000,12390000,55635000,14070000,3090000,2700000,1680000,1230000,675000,2475000,1650000,1470000,Mobile Payment App
227,22,Male,Sophomore,Economics,12840000,495000,81300000,14505000,5865000,1680000,2940000,645000,1065000,4410000,1365000,2085000,Mobile Payment App
228,21,Female,Senior,Psychology,14775000,8790000,65175000,7215000,1650000,2115000,2025000,1545000,630000,4050000,2910000,2940000,Credit/Debit Card
229,22,Non-binary,Junior,Biology,13785000,5535000,68985000,11820000,1785000,2550000,870000,1860000,510000,1455000,960000,2775000,Credit/Debit Card
230,18,Female,Sophomore,Biology,9555000,1950000,77280000,8385000,5100000,930000,3390000,630000,1080000,3660000,2955000,630000,Cash
231,20,Male,Freshman,Economics,13410000,4905000,53025000,10335000,3195000,1905000,1035000,1740000,750000,2145000,1215000,765000,Credit/Debit Card
232,22,Female,Senior,Economics,13110000,8415000,51780000,7560000,4485000,1665000,3555000,1695000,1065000,1560000,675000,930000,Cash
233,22,Female,Junior,Computer Science,12750000,10485000,47700000,11655000,2940000,1530000,3180000,1470000,1125000,2880000,720000,1590000,Credit/Debit Card
234,24,Non-binary,Junior,Engineering,13185000,12975000,86145000,13815000,3735000,2835000,3330000,1665000,1065000,1680000,900000,1995000,Credit/Debit Card
235,24,Female,Junior,Economics,12165000,5190000,52905000,11925000,4620000,1590000,1110000,1890000,345000,4485000,1665000,2280000,Credit/Debit Card
236,21,Male,Sophomore,Computer Science,12135000,11520000,61185000,7575000,2790000,2640000,3255000,1050000,1215000,2910000,2895000,1365000,Cash
237,18,Non-binary,Senior,Psychology,8940000,4740000,82410000,8505000,4620000,810000,1890000,2235000,690000,4170000,2010000,315000,Credit/Debit Card
238,25,Male,Sophomore,Economics,12840000,1530000,54705000,7500000,5115000,1845000,2970000,1275000,1095000,3120000,870000,315000,Mobile Payment App
239,25,Male,Senior,Computer Science,13290000,2145000,52335000,10140000,3285000,915000,2970000,1485000,1425000,2670000,690000,2820000,Mobile Payment App
240,24,Female,Sophomore,Psychology,18075000,10725000,86715000,6420000,5190000,2850000,1185000,555000,420000,855000,2730000,1995000,Mobile Payment App
241,21,Non-binary,Freshman,Biology,20295000,6660000,65145000,9330000,5115000,2970000,2280000,1590000,660000,3540000,900000,2565000,Cash
242,22,Male,Junior,Computer Science,19020000,13290000,74400000,13755000,1500000,795000,1530000,1470000,990000,3420000,1860000,2640000,Cash
243,23,Non-binary,Sophomore,Psychology,16680000,75000,58095000,11055000,2820000,1515000,3990000,690000,1140000,1095000,2850000,2385000,Cash
244,20,Female,Junior,Engineering,18090000,9585000,78165000,10800000,5445000,990000,1800000,2010000,1275000,2280000,780000,450000,Cash
245,24,Male,Junior,Biology,17385000,6975000,47295000,13365000,3390000,825000,1425000,690000,870000,4260000,615000,1320000,Mobile Payment App
246,19,Non-binary,Sophomore,Biology,18750000,1695000,72885000,7815000,4575000,1380000,1995000,1155000,1380000,1035000,1620000,1740000,Mobile Payment App
247,20,Non-binary,Freshman,Computer Science,16800000,4905000,82635000,10050000,1800000,1950000,2670000,780000,1065000,4005000,570000,945000,Mobile Payment App
248,24,Non-binary,Senior,Computer Science,19155000,7800000,70590000,8070000,5610000,2745000,3645000,1200000,1110000,3690000,2280000,690000,Cash
249,19,Male,Freshman,Psychology,21630000,6945000,79260000,8055000,4605000,2355000,1695000,900000,585000,3915000,2670000,1725000,Mobile Payment App
250,24,Non-binary,Junior,Biology,11640000,240000,65295000,6900000,5370000,1425000,3285000,405000,915000,2670000,2595000,2520000,Cash
251,21,Female,Sophomore,Biology,12000000,4665000,54615000,6570000,4965000,900000,1875000,330000,615000,3795000,675000,1170000,Mobile Payment App
252,18,Female,Junior,Computer Science,16170000,13650000,81240000,7605000,3480000,2625000,960000,1935000,825000,2040000,2340000,780000,Credit/Debit Card
253,20,Male,Junior,Computer Science,21060000,11205000,58800000,11400000,3555000,1560000,1830000,420000,1230000,1725000,1125000,840000,Mobile Payment App
254,21,Non-binary,Junior,Psychology,16455000,1050000,63825000,6705000,1515000,1875000,4005000,1785000,870000,1140000,555000,1410000,Credit/Debit Card
255,22,Non-binary,Freshman,Biology,12525000,3660000,46470000,12510000,5700000,1425000,3645000,585000,765000,2670000,1515000,1650000,Credit/Debit Card
256,18,Non-binary,Senior,Economics,11325000,11355000,48315000,12300000,4515000,1890000,3465000,1155000,1065000,4260000,1485000,1665000,Credit/Debit Card
257,19,Male,Freshman,Engineering,16305000,1995000,77550000,13080000,1995000,1290000,2655000,1095000,945000,2970000,2505000,480000,Credit/Debit Card
258,23,Male,Sophomore,Computer Science,13965000,14250000,45180000,9540000,4935000,2805000,1440000,2115000,1440000,3690000,2895000,1815000,Cash
259,20,Female,Sophomore,Psychology,14745000,4815000,73680000,11415000,5250000,2655000,3840000,915000,1095000,3090000,945000,2685000,Credit/Debit Card
260,21,Non-binary,Sophomore,Engineering,9585000,12810000,62400000,10140000,2610000,1605000,3120000,1065000,720000,3465000,2880000,2535000,Mobile Payment App
261,20,Male,Junior,Engineering,7905000,6570000,63465000,14415000,3180000,900000,4305000,855000,465000,1200000,2430000,600000,Mobile Payment App
262,24,Male,Junior,Computer Science,11160000,9990000,73950000,12795000,2010000,1725000,2955000,1605000,1095000,3840000,1755000,510000,Mobile Payment App
263,21,Male,Freshman,Economics,16770000,5505000,57315000,14340000,4305000,1680000,4005000,975000,1380000,2205000,2235000,750000,Mobile Payment App
264,22,Male,Senior,Engineering,19140000,9090000,57135000,14550000,1860000,1455000,4065000,1440000,1215000,1650000,2040000,630000,Credit/Debit Card
265,25,Female,Junior,Engineering,13200000,12945000,71565000,13545000,4365000,1500000,4380000,1620000,825000,3255000,2460000,765000,Cash
266,23,Male,Freshman,Engineering,21360000,13305000,69675000,12810000,2100000,2175000,2340000,525000,540000,750000,1710000,2295000,Mobile Payment App
267,22,Female,Senior,Psychology,19140000,7500000,53520000,11775000,5070000,2160000,4470000,1365000,960000,2595000,1470000,1635000,Mobile Payment App
268,19,Non-binary,Junior,Computer Science,10455000,14145000,89370000,12360000,4110000,3000000,1335000,840000,465000,4020000,2625000,1440000,Mobile Payment App
269,23,Non-binary,Senior,Computer Science,20685000,7500000,54975000,14190000,1710000,2145000,3165000,1380000,300000,1245000,1695000,1650000,Mobile Payment App
270,20,Female,Freshman,Computer Science,21990000,14655000,81000000,10470000,4245000,2025000,870000,2025000,1440000,2565000,450000,1275000,Credit/Debit Card
271,24,Male,Junior,Biology,16890000,9735000,53475000,7245000,3885000,945000,795000,855000,645000,975000,600000,1290000,Cash
272,23,Non-binary,Senior,Biology,16890000,135000,83025000,15000000,3090000,2025000,1260000,1050000,1425000,4425000,1800000,1095000,Cash
273,21,Non-binary,Senior,Biology,9270000,13740000,74280000,6885000,2880000,2175000,3030000,1290000,1215000,1830000,2250000,1695000,Cash
274,22,Non-binary,Junior,Biology,11775000,4545000,52425000,6105000,3675000,960000,1380000,705000,1230000,1410000,1560000,2760000,Mobile Payment App
275,18,Non-binary,Senior,Computer Science,11550000,8310000,53025000,7020000,2565000,1560000,1395000,1125000,330000,1110000,2865000,2730000,Cash
276,25,Non-binary,Sophomore,Psychology,21465000,12840000,78240000,7920000,5655000,2325000,2865000,2235000,840000,1755000,1860000,2595000,Credit/Debit Card
277,18,Female,Freshman,Biology,20070000,7365000,59325000,11715000,1500000,2085000,2625000,1935000,360000,2505000,2235000,2055000,Credit/Debit Card
278,25,Female,Sophomore,Psychology,16815000,11910000,52755000,6105000,5445000,1515000,2550000,900000,450000,2520000,1515000,1860000,Mobile Payment App
279,24,Female,Freshman,Engineering,18675000,10125000,87495000,14160000,2925000,1605000,1320000,1185000,1425000,2490000,2985000,1830000,Credit/Debit Card
280,20,Female,Senior,Computer Science,11220000,3345000,50145000,13785000,1500000,2130000,3990000,1155000,900000,1545000,2985000,1305000,Mobile Payment App
281,20,Female,Junior,Biology,20835000,7155000,54150000,12165000,2280000,1365000,3510000,1230000,495000,2565000,1440000,465000,Credit/Debit Card
282,19,Female,Junior,Engineering,16830000,11850000,89535000,12600000,5475000,1560000,2010000,960000,1470000,3015000,855000,2520000,Credit/Debit Card
283,23,Male,Senior,Psychology,16695000,14325000,81840000,11595000,5235000,2670000,1185000,2025000,1170000,3000000,2025000,1905000,Cash
284,20,Female,Sophomore,Economics,13185000,8205000,75825000,6105000,2535000,1575000,4200000,1350000,930000,3570000,1230000,2580000,Cash
285,18,Non-binary,Freshman,Economics,22335000,3030000,70650000,13815000,1515000,2805000,1830000,1950000,570000,3690000,1440000,2895000,Mobile Payment App
286,22,Female,Freshman,Biology,13035000,1275000,87990000,11310000,5685000,1905000,3210000,1665000,960000,4140000,555000,1575000,Cash
287,23,Male,Junior,Psychology,20715000,7800000,75990000,9360000,5340000,975000,1455000,825000,1260000,1590000,975000,765000,Mobile Payment App
288,21,Non-binary,Sophomore,Biology,19875000,11025000,60180000,13200000,4050000,3000000,3450000,1815000,1455000,3720000,1530000,2355000,Cash
289,20,Male,Senior,Psychology,8715000,7380000,55575000,6720000,4770000,1710000,2790000,1935000,1275000,3225000,2820000,1500000,Cash
290,22,Non-binary,Senior,Engineering,10410000,3675000,62100000,10380000,5970000,1380000,3225000,375000,1380000,3705000,2025000,420000,Mobile Payment App
291,24,Female,Sophomore,Economics,9225000,8445000,50835000,6045000,3000000,1635000,945000,2175000,1185000,3495000,960000,2295000,Mobile Payment App
292,25,Female,Sophomore,Economics,20910000,7785000,74970000,13185000,3330000,1260000,2115000,315000,1005000,1440000,1515000,1665000,Credit/Debit Card
293,25,Female,Freshman,Biology,12000000,3345000,88005000,12420000,4470000,1410000,2490000,1905000,1215000,3435000,720000,1065000,Credit/Debit Card
294,20,Male,Senior,Psychology,13695000,9510000,53115000,10020000,5625000,2805000,2565000,1050000,1365000,1350000,1995000,3000000,Cash
295,19,Male,Sophomore,Psychology,18645000,13230000,83550000,8610000,1590000,2850000,1095000,1275000,1455000,3960000,1410000,1230000,Mobile Payment App
296,20,Female,Sophomore,Economics,9825000,10275000,46725000,7215000,4050000,2355000,1995000,1455000,330000,1680000,1200000,1470000,Credit/Debit Card
297,18,Male,Freshman,Biology,10005000,9705000,69555000,13590000,3375000,1845000,3060000,1215000,540000,1335000,495000,2055000,Credit/Debit Card
298,24,Non-binary,Senior,Economics,21870000,105000,77145000,7575000,4935000,2100000,3975000,2070000,975000,1215000,735000,2970000,Credit/Debit Card
299,22,Non-binary,Sophomore,Biology,13875000,5250000,66675000,7935000,3405000,765000,2595000,1980000,360000,870000,2745000,1110000,Mobile Payment App
300,21,Non-binary,Senior,Economics,16575000,525000,61710000,6255000,4620000,2670000,2280000,2130000,1350000,4290000,1260000,2085000,Credit/Debit Card
301,18,Male,Junior,Biology,11055000,7350000,82830000,11370000,2025000,2400000,1575000,975000,1200000,4215000,2220000,1680000,Cash
302,25,Female,Freshman,Computer Science,22425000,13380000,82875000,11505000,2730000,1455000,3195000,2025000,450000,2940000,810000,315000,Mobile Payment App
303,20,Male,Senior,Economics,19470000,14565000,75030000,10755000,3735000,945000,3210000,1080000,600000,3300000,1200000,390000,Mobile Payment App
304,21,Male,Sophomore,Psychology,19080000,11760000,55620000,12150000,5460000,1350000,1785000,480000,1005000,1365000,2190000,2250000,Credit/Debit Card
305,19,Female,Senior,Biology,7665000,12375000,80745000,13755000,3015000,2280000,1755000,2205000,630000,3660000,1125000,1890000,Credit/Debit Card
306,21,Female,Sophomore,Engineering,17415000,8490000,77670000,9795000,5715000,2325000,3195000,1740000,675000,3120000,2085000,2610000,Credit/Debit Card
307,21,Male,Senior,Psychology,16680000,14145000,87480000,13215000,4380000,1395000,4320000,2025000,1230000,1005000,1530000,2355000,Mobile Payment App
308,25,Male,Junior,Economics,14370000,6765000,89235000,9825000,2445000,1170000,1440000,2250000,810000,1170000,1140000,2640000,Cash
309,25,Non-binary,Junior,Engineering,17640000,2790000,60660000,9225000,4785000,1395000,1620000,690000,1440000,2760000,915000,555000,Credit/Debit Card
310,20,Non-binary,Senior,Engineering,10905000,6765000,49875000,8550000,3795000,1140000,1470000,825000,735000,3435000,1440000,1455000,Cash
311,25,Non-binary,Senior,Biology,22245000,12390000,45720000,10995000,2040000,1545000,4170000,1710000,330000,4230000,1650000,900000,Credit/Debit Card
312,24,Male,Junior,Computer Science,13215000,1455000,73260000,12855000,5100000,2490000,2205000,510000,480000,4470000,1725000,570000,Credit/Debit Card
313,21,Male,Freshman,Engineering,20205000,9510000,86490000,8430000,5970000,2010000,3330000,645000,840000,1620000,2430000,510000,Mobile Payment App
314,22,Female,Freshman,Psychology,10875000,1980000,67155000,12330000,2250000,915000,2880000,1995000,1335000,3060000,1995000,1425000,Mobile Payment App
315,18,Non-binary,Sophomore,Biology,15000000,4050000,62565000,12885000,2910000,2085000,3690000,1530000,975000,1395000,2775000,2280000,Credit/Debit Card
316,24,Female,Sophomore,Engineering,11925000,8700000,61890000,6810000,3390000,1980000,1710000,1755000,1080000,2370000,1995000,1980000,Credit/Debit Card
317,18,Male,Senior,Economics,13035000,6705000,59430000,6240000,5535000,1680000,1065000,660000,765000,2400000,1110000,645000,Mobile Payment App
318,24,Female,Freshman,Biology,8145000,2655000,72345000,14640000,4425000,2295000,1290000,1605000,540000,2145000,1770000,2580000,Credit/Debit Card
319,25,Male,Sophomore,Economics,22050000,6045000,83415000,10560000,2670000,1560000,2595000,540000,750000,1215000,2100000,1710000,Credit/Debit Card
320,19,Female,Freshman,Economics,11010000,12570000,66615000,6555000,2775000,1185000,795000,1935000,315000,2235000,1800000,795000,Cash
321,20,Female,Freshman,Computer Science,10035000,9570000,88935000,8820000,4350000,2640000,3270000,1110000,345000,2985000,975000,2235000,Mobile Payment App
322,19,Female,Junior,Psychology,20040000,6255000,67995000,12135000,4020000,1965000,3555000,1440000,1320000,4335000,1695000,1800000,Cash
323,21,Female,Sophomore,Economics,21540000,6525000,81210000,11220000,4110000,1335000,3300000,510000,1185000,3615000,1770000,1695000,Mobile Payment App
324,21,Non-binary,Freshman,Engineering,20085000,11655000,79380000,7635000,3675000,1695000,1050000,1515000,705000,4455000,2340000,615000,Mobile Payment App
325,18,Female,Freshman,Biology,9135000,3015000,67155000,13950000,3900000,2670000,4080000,1470000,1245000,2070000,1935000,780000,Credit/Debit Card
326,21,Non-binary,Sophomore,Economics,15540000,2535000,68730000,6390000,3090000,2835000,3555000,2100000,1050000,885000,1575000,1845000,Mobile Payment App
327,25,Female,Senior,Engineering,19635000,12600000,83625000,13845000,3855000,1725000,3945000,1170000,300000,3540000,585000,1170000,Mobile Payment App
328,25,Male,Sophomore,Engineering,22065000,7815000,65820000,7560000,5115000,1695000,1140000,510000,1005000,3240000,1170000,540000,Cash
329,19,Male,Freshman,Engineering,9870000,7305000,53685000,10575000,4380000,2580000,2970000,300000,750000,3135000,1020000,315000,Mobile Payment App
330,19,Male,Junior,Engineering,10260000,10920000,81105000,14295000,2430000,1605000,1755000,960000,810000,3900000,2490000,2520000,Mobile Payment App
331,20,Male,Sophomore,Computer Science,13605000,7020000,50370000,13155000,2280000,2550000,945000,660000,705000,2640000,2370000,2805000,Credit/Debit Card
332,18,Male,Freshman,Computer Science,12690000,10065000,72405000,13920000,3840000,915000,1710000,315000,1155000,2400000,1995000,2145000,Mobile Payment App
333,18,Female,Sophomore,Biology,17625000,14445000,81915000,7470000,3270000,1215000,2730000,390000,900000,4440000,2145000,360000,Cash
334,25,Male,Freshman,Biology,9885000,13395000,87555000,13005000,2130000,1155000,2445000,1575000,1185000,2760000,2490000,2100000,Credit/Debit Card
335,18,Non-binary,Sophomore,Economics,22320000,7380000,77775000,6750000,2280000,1800000,3270000,1365000,1215000,3855000,750000,585000,Cash
336,22,Female,Senior,Psychology,17850000,2910000,76605000,7245000,4485000,2685000,2595000,450000,1020000,2160000,2550000,1785000,Cash
337,19,Female,Junior,Psychology,11130000,8145000,79320000,11580000,1875000,2430000,1845000,1890000,765000,1410000,1695000,1065000,Credit/Debit Card
338,23,Non-binary,Freshman,Psychology,13710000,9945000,48975000,12135000,2625000,900000,1875000,315000,1215000,2025000,2910000,2310000,Credit/Debit Card
339,19,Male,Freshman,Biology,22275000,795000,54885000,9765000,3315000,2970000,1860000,2115000,1275000,4395000,855000,2565000,Cash
340,20,Female,Junior,Biology,8730000,10170000,62850000,10830000,1680000,2820000,1455000,1995000,990000,1035000,1965000,2205000,Credit/Debit Card
341,19,Non-binary,Junior,Engineering,22020000,6225000,71460000,9195000,1725000,2355000,1815000,465000,1320000,1155000,840000,1755000,Credit/Debit Card
342,25,Female,Sophomore,Computer Science,15315000,1395000,56325000,7680000,1560000,2820000,2190000,1545000,945000,2745000,1920000,510000,Cash
343,24,Male,Freshman,Computer Science,11400000,4215000,70905000,12330000,5910000,1320000,2865000,750000,720000,2400000,2820000,1215000,Mobile Payment App
344,24,Non-binary,Freshman,Economics,14535000,5565000,56565000,13335000,5040000,885000,4470000,525000,1335000,3015000,1110000,1125000,Cash
345,23,Female,Senior,Biology,14850000,6465000,57690000,8910000,4950000,1335000,1710000,810000,1080000,1230000,1980000,1875000,Mobile Payment App
346,23,Non-binary,Sophomore,Engineering,19560000,6855000,63600000,13170000,1665000,2475000,1290000,1845000,615000,1800000,1860000,405000,Cash
347,23,Male,Sophomore,Biology,12075000,0,71385000,6135000,3825000,1515000,4275000,735000,675000,1335000,1725000,1935000,Credit/Debit Card
348,25,Male,Senior,Engineering,17685000,3345000,60870000,14280000,5100000,1770000,975000,1815000,765000,2610000,615000,2655000,Credit/Debit Card
349,18,Non-binary,Senior,Computer Science,8595000,4485000,45045000,13170000,3435000,1965000,2355000,870000,1320000,795000,2730000,2850000,Mobile Payment App
350,25,Female,Senior,Psychology,12645000,60000,73590000,13035000,3390000,2940000,990000,1230000,1470000,4335000,870000,2220000,Mobile Payment App
351,23,Non-binary,Junior,Biology,16275000,11925000,45840000,7515000,2550000,2040000,2325000,1050000,690000,2880000,1335000,570000,Mobile Payment App
352,23,Female,Freshman,Biology,8700000,11565000,56835000,10605000,4830000,2550000,3660000,1710000,1125000,1185000,2820000,1605000,Credit/Debit Card
353,25,Female,Sophomore,Computer Science,14625000,9450000,71775000,10395000,4740000,2655000,3945000,1815000,930000,3495000,2235000,480000,Cash
354,23,Male,Senior,Psychology,9030000,9120000,68130000,12450000,5670000,1245000,3435000,1965000,810000,2490000,2175000,2400000,Credit/Debit Card
355,23,Non-binary,Senior,Economics,16545000,13095000,71415000,10065000,5910000,1815000,3225000,1680000,705000,1770000,1785000,1725000,Cash
356,20,Non-binary,Freshman,Psychology,12240000,3495000,58635000,14235000,2040000,2475000,795000,885000,450000,4125000,2745000,480000,Mobile Payment App
357,24,Male,Freshman,Engineering,15240000,3015000,75630000,9090000,2130000,810000,2820000,1590000,960000,2430000,600000,1260000,Cash
358,23,Non-binary,Junior,Engineering,14535000,4905000,51735000,7740000,4680000,2730000,2790000,375000,660000,2790000,1755000,2460000,Cash
359,21,Non-binary,Junior,Computer Science,13770000,12465000,89010000,14235000,5865000,1215000,1905000,1815000,960000,4125000,2115000,2385000,Credit/Debit Card
360,23,Non-binary,Senior,Computer Science,14730000,3105000,65955000,10650000,2385000,1770000,1335000,1635000,1305000,3375000,975000,1035000,Mobile Payment App
361,25,Male,Junior,Computer Science,15315000,13680000,89685000,11775000,4395000,1290000,3420000,480000,690000,2025000,1530000,1080000,Cash
362,22,Female,Sophomore,Psychology,7815000,13260000,85515000,13740000,5130000,2625000,3315000,1290000,690000,855000,1680000,405000,Mobile Payment App
363,24,Female,Freshman,Computer Science,21660000,13215000,55815000,6870000,4035000,1050000,1335000,1080000,750000,2730000,1215000,1950000,Mobile Payment App
364,21,Male,Sophomore,Psychology,9690000,7305000,63270000,12330000,1860000,1110000,1620000,780000,1455000,1020000,1575000,720000,Credit/Debit Card
365,21,Female,Freshman,Economics,19440000,1995000,55920000,6960000,3180000,2760000,4470000,1080000,795000,2970000,1665000,2025000,Mobile Payment App
366,18,Non-binary,Freshman,Economics,20400000,3330000,86385000,12150000,2460000,2295000,1155000,900000,1485000,2700000,2655000,2145000,Mobile Payment App
367,19,Female,Senior,Biology,16845000,75000,81105000,6060000,5175000,1830000,2805000,1095000,300000,3225000,2565000,2850000,Cash
368,18,Female,Senior,Psychology,15300000,1110000,87555000,8280000,1845000,2070000,4005000,1470000,945000,4005000,2445000,450000,Mobile Payment App
369,21,Female,Freshman,Computer Science,11040000,9420000,56355000,11145000,3840000,2700000,3135000,1380000,1380000,3420000,660000,915000,Credit/Debit Card
370,23,Non-binary,Senior,Economics,13965000,4830000,87975000,7350000,2325000,2190000,2625000,1185000,1425000,1695000,2130000,2085000,Cash
371,24,Male,Senior,Psychology,21645000,14730000,57105000,12210000,5460000,2535000,4485000,1890000,300000,1530000,2895000,1905000,Mobile Payment App
372,22,Male,Freshman,Engineering,10950000,5610000,52245000,10125000,3450000,1020000,3180000,1860000,1080000,2340000,1770000,2715000,Cash
373,25,Non-binary,Senior,Economics,8415000,11385000,63435000,11715000,2205000,1320000,2160000,825000,1425000,1710000,2130000,840000,Mobile Payment App
374,25,Female,Sophomore,Economics,18180000,9240000,88005000,10920000,5670000,975000,2385000,1380000,1185000,4335000,525000,1125000,Cash
375,25,Non-binary,Freshman,Computer Science,19230000,6240000,87360000,8910000,4635000,1815000,1620000,870000,1365000,3510000,1560000,1800000,Cash
376,21,Non-binary,Freshman,Biology,21570000,5460000,76995000,9255000,5880000,1905000,3735000,555000,420000,2310000,2550000,2610000,Mobile Payment App
377,18,Female,Senior,Psychology,10530000,7965000,73515000,7455000,3555000,2250000,4470000,690000,930000,3375000,1845000,1950000,Credit/Debit Card
378,20,Male,Senior,Biology,21495000,11460000,75030000,8835000,5955000,765000,4320000,2025000,1500000,1065000,720000,1680000,Credit/Debit Card
379,25,Female,Freshman,Psychology,21660000,8130000,70200000,12435000,3105000,1830000,3900000,1635000,555000,1905000,645000,1035000,Cash
380,22,Female,Junior,Psychology,8040000,7260000,87045000,6195000,4890000,1560000,1290000,1485000,1035000,2955000,2505000,2355000,Cash
381,18,Non-binary,Freshman,Engineering,18900000,1020000,54150000,9555000,4440000,1290000,1305000,750000,810000,3450000,2745000,2055000,Credit/Debit Card
382,18,Non-binary,Freshman,Biology,10515000,5100000,48525000,14535000,5055000,975000,2280000,1695000,1485000,2535000,2415000,2385000,Cash
383,18,Female,Freshman,Engineering,19635000,2160000,51285000,10920000,2565000,1740000,2280000,1605000,1275000,1860000,1140000,1170000,Cash
384,18,Non-binary,Sophomore,Economics,12630000,7365000,68730000,7095000,3030000,2340000,4185000,1800000,1215000,4050000,1005000,1170000,Credit/Debit Card
